Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
14,14,UTA,Shabazz Muhammad,UCLA,5,278,4772,2504,770,151,.473,.319,.751,17.2,9.0,2.8,0.5,8.5,.085,-2.0,0.0
15,15,MIL,Giannis Antetokounmpo,,9,597,19401,12538,5457,2683,.532,.288,.717,32.5,21.0,9.1,4.5,76.2,.188,5.5,36.7
16,16,BOS,Lucas Nogueira,,4,141,1754,446,388,72,.632,.265,.640,12.4,3.2,2.8,0.5,6.0,.165,2.3,1.9
17,17,ATL,Dennis Schröder,,9,564,14832,8037,1641,2656,.435,.337,.831,26.3,14.3,2.9,4.7,20.9,.068,-1.1,3.4
18,18,ATL,Shane Larkin,Miami (FL),4,256,4880,1399,490,737,.422,.336,.777,19.1,5.5,1.9,2.9,4.4,.044,-2.4,-0.6
19,19,CLE,Sergey Karasev,,3,95,1110,287,140,87,.395,.282,.842,11.7,3.0,1.5,0.9,0.8,.036,-3.4,-0.4
20,20,CHI,Tony Snell,New Mexico,9,549,12280,3491,1269,641,.433,.398,.844,22.4,6.4,2.3,1.2,18.2,.071,-1.9,0.3
21,21,UTA,Gorgui Dieng,Louisville,9,560,11992,4342,3354,758,.500,.357,.791,21.4,7.8,6.0,1.4,29.7,.119,0.3,6.9
22,22,BRK,Mason Plumlee,Duke,9,596,13199,5060,3882,1406,.578,.051,.568,22.1,8.5,6.5,2.4,39.8,.145,1.4,11.2
23,23,IND,Solomon Hill,Arizona,9,438,9555,2451,1383,654,.389,.333,.797,21.8,5.6,3.2,1.5,11.9,.060,-2.2,-0.4
24,24,NYK,Tim Hardaway Jr.,Michigan,9,551,14806,7648,1515,1016,.424,.360,.815,26.9,13.9,2.7,1.8,24.3,.079,-0.9,4.2
25,25,LAC,Reggie Bullock,UNC,9,373,8022,2848,871,446,.432,.391,.839,21.5,7.6,2.3,1.2,15.0,.090,-0.7,2.6
26,26,MIN,Andre Roberson,Colorado,7,307,6801,1382,1230,265,.473,.253,.468,22.2,4.5,4.0,0.9,12.6,.089,-0.6,2.3
27,27,DEN,Rudy Gobert,,9,552,16400,6675,6274,742,.646,.000,.631,29.7,12.1,11.4,1.3,76.4,.224,3.9,24.4
28,28,SAS,Livio Jean-Charles,,,,,,,,,,,,,,,,,,
29,29,OKC,Archie Goodwin,Kentucky,4,165,2396,1040,331,206,.429,.236,.700,14.5,6.3,2.0,1.2,1.1,.022,-3.0,-0.6
30,30,PHO,Nemanja Nedović,,1,24,142,26,15,13,.205,.167,.875,5.9,1.1,0.6,0.5,-0.4,-.132,-10.0,-0.3
31,31,CLE,Allen Crabbe,California,7,381,9125,3453,1073,434,.425,.387,.831,24.0,9.1,2.8,1.1,13.7,.072,-1.6,0.9
32,32,OKC,Álex Abrines,,3,174,2777,924,248,88,.387,.368,.880,16.0,5.3,1.4,0.5,5.0,.086,-1.9,0.1
33,33,CLE,Carrick Felix,Arizona State,1,7,38,19,6,4,.500,.400,.750,5.4,2.7,0.9,0.6,0.0,.057,-3.4,0.0
34,34,HOU,Isaiah Canaan,Murray State,6,235,4799,1913,438,454,.371,.351,.836,20.4,8.1,1.9,1.9,4.3,.043,-2.4,-0.5
35,35,PHI,Glen Rice Jr.,Georgia Tech,2,16,152,43,24,9,.269,.250,.692,9.5,2.7,1.5,0.6,-0.2,-.065,-6.6,-0.2
36,36,SAC,Ray McCallum,Detroit Mercy,3,154,2808,920,306,368,.408,.335,.711,18.2,6.0,2.0,2.4,2.1,.035,-2.6,-0.4
37,37,DET,Tony Mitchell,University of North Texas,1,21,79,22,26,2,.417,1.000,.579,3.8,1.0,1.2,0.1,0.2,.151,0.4,0.0
38,38,WAS,Nate Wolters,South Dakota State,3,84,1575,461,185,209,.423,.261,.635,18.8,5.5,2.2,2.5,0.9,.028,-2.6,-0.2
39,39,POR,Jeff Withey,Kansas,5,206,2072,666,518,64,.525,.143,.716,10.1,3.2,2.5,0.3,6.8,.157,0.5,1.3
40,40,POR,Grant Jerrett,Arizona,1,8,51,16,9,3,.269,.067,1.000,6.4,2.0,1.1,0.4,-0.1,-.128,-10.8,-0.1
41,41,MEM,Jamaal Franklin,San Diego State,2,24,174,42,25,9,.415,.462,1.000,7.3,1.8,1.0,0.4,0.0,-.006,-5.9,-0.2
42,42,PHI,Pierre Jackson,Baylor,1,8,84,35,9,19,.333,.273,.857,10.5,4.4,1.1,2.4,0.0,.021,-4.4,-0.1
43,43,MIL,Ricky Ledo,Providence,2,28,277,109,38,21,.336,.371,.769,9.9,3.9,1.4,0.8,-0.6,-.096,-7.6,-0.4
44,44,DAL,Mike Muscala,Bucknell,9,394,6187,2363,1261,360,.457,.368,.846,15.7,6.0,3.2,0.9,14.7,.114,-0.2,2.8
45,45,POR,Marko Todorović,,,,,,,,,,,,,,,,,,
46,46,UTA,Erick Green,Virginia Tech,2,52,452,159,37,42,.377,.288,.857,8.7,3.1,0.7,0.8,0.1,.011,-4.0,-0.2
47,47,ATL,Raul Neto,,7,323,5018,1831,494,636,.453,.377,.820,15.5,5.7,1.5,2.0,8.8,.084,-1.3,0.9
48,48,LAL,Ryan Kelly,Duke,4,163,3125,981,504,215,.378,.316,.797,19.2,6.0,3.1,1.3,3.0,.046,-2.6,-0.5
49,49,CHI,Erik Murphy,Florida,1,24,62,6,8,2,.231,.000,,2.6,0.3,0.3,0.1,-0.1,-.055,-8.6,-0.1
50,50,ATL,James Ennis,Cal State Long Beach,7,388,7966,2600,1294,370,.457,.360,.797,20.5,6.7,3.3,1.0,16.1,.097,-1.5,0.9
51,51,ORL,Romero Osby,Oklahoma,,,,,,,,,,,,,,,,,
52,52,MIN,Lorenzo Brown,NC State,5,103,1185,293,151,183,.364,.170,.707,11.5,2.8,1.5,1.8,-0.2,-.007,-3.5,-0.5
53,53,IND,Colton Iverson,Colorado State,,,,,,,,,,,,,,,,,
54,54,WAS,Arsalan Kazemi,Oregon,,,,,,,,,,,,,,,,,
55,55,MEM,Joffrey Lauvergne,,4,208,2823,1159,789,180,.479,.285,.719,13.6,5.6,3.8,0.9,5.2,.089,-2.1,-0.1
56,56,DET,Peyton Siva,Louisville,1,24,224,54,14,34,.316,.280,.733,9.3,2.3,0.6,1.4,-0.2,-.032,-6.4,-0.2
57,57,PHO,Alex Oriakhi,Missouri,,,,,,,,,,,,,,,,,
58,58,SAS,Deshaun Thomas,Ohio State,,,,,,,,,,,,,,,,,
59,59,MIN,Bojan Dubljević,,,,,,,,,,,,,,,,,,
60,60,MEM,Jānis Timma,,,,,,,,,,,,,,,,,,
